,PTS,GF,GA,GD,rank
Man City,86,83,32,51,1
Man Utd,74,73,44,29,2
Liverpool,69,68,42,26,3
Chelsea,67,58,36,22,4
Leicester,66,68,50,18,5
West Ham,65,62,47,15,6
Spurs,62,68,45,23,7
Arsenal,61,55,39,16,8
Leeds,59,62,54,8,9
Everton,59,47,48,-1,10
Aston Villa,55,55,46,9,11
Newcastle,45,46,62,-16,12
Wolves,45,36,52,-16,13
Crystal Palace,44,41,66,-25,14
Southampton,43,47,68,-21,15
Brighton,41,40,46,-6,16
Burnley,39,33,55,-22,17
Fulham,28,27,53,-26,18
West Brom,26,35,76,-41,19
Sheffield Utd,23,20,63,-43,20
